"plays","downloads","loads","finishes","likes","comments","uri","name","duration","created_time","sizes","mean_percent","mean_seconds","sum_seconds","total_seconds"
12,0,33,3,0,0,/videos/138400429,"Fedora - powerline - die Eingabeaufforderung verändern",158,2015-09-05T16:51:57+00:00,Array,69,109,1319,1892
11,0,35,0,0,0,/videos/27021530,"Firefox - Referrer blockieren",298,2011-07-28T19:27:58+00:00,Array,62,185,2045,3275
11,0,386,2,0,0,/videos/136621885,"Python für Anfänger - Mit Python interagieren",152,2015-08-18T15:11:49+00:00,Array,62,104,1148,1823
11,0,18,1,0,0,/videos/13802199,"Linux - Links",440,2010-08-01T15:56:36+00:00,Array,39,189,2088,5280
11,0,39,2,0,0,/videos/140501564,"Gnome 3.18 - Builder - Demo",259,2015-09-26T07:45:05+00:00,Array,58,165,1825,3100
10,0,39,1,0,0,/videos/40037197,"popcorn.js - timeline",240,2012-04-09T21:18:24+00:00,Array,68,164,1645,2396
10,1,39,2,0,0,/videos/133493397,"Fedora 22 Beta Workstation - Demo",390,2015-07-14T20:52:54+00:00,Array,43,205,2057,4680
10,0,29,2,0,0,/videos/15426771,"Screencast 083 - key-mon und screenkey",298,2010-09-30T14:41:00+00:00,Array,41,122,1225,2980
9,0,32,0,0,0,/videos/133456528,"Vivaldi Browser - Demo",643,2015-07-14T14:46:55+00:00,Array,49,318,2870,5786
9,3,425,2,0,0,/videos/135065282,"Django - Vorbereitungen",242,2015-07-31T16:34:51+00:00,Array,48,118,1063,2175
9,0,29,0,0,0,/videos/90719770,"Slackel 5.0 “Openbox” edition - Demo",456,2014-04-02T04:02:32+00:00,Array,22,91,822,3646
9,1,35,0,0,0,/videos/23596446,"Firefox - Adblock Plus",188,2011-05-11T17:21:36+00:00,Array,33,62,563,1689
8,0,26,3,0,0,/videos/90719757,"Lubuntu 13.10 - Demo",282,2014-04-02T04:02:16+00:00,Array,52,148,1187,2256
8,0,35,0,0,0,/videos/142776685,"Opensuse Leap 42.1 RC1 - Demo",452,2015-10-18T11:58:04+00:00,Array,31,140,1127,3610
8,0,25,1,0,0,/videos/90719751,"Linux - Liquid prompt",468,2014-04-02T04:02:06+00:00,Array,48,228,1827,3741
