Video,Video ID,Video length (minutes),Video created,Watch time (minutes),Views,Average view duration (minutes),Average percentage viewed,Watch time (hours),Subscriber views,Subscriber minutes watched,Card clicks,Card impressions,Card click rate,Card teaser clicks,Card teaser impressions,Card teaser click rate,Total estimated earnings (USD),YouTube Red earnings (USD),Ad earnings (USD),AdSense earnings (USD),DoubleClick earnings (USD),Transaction earnings (USD),Transactions,Earnings per transaction (USD),Estimated monetized playbacks,Playback-based CPM (USD),Impressions,Impression-based CPM (USD),Gross revenue (USD),YouTube Red watch time (minutes),YouTube Red views,YouTube Red watch time (hours),Clicks,Clickable impressions,Click through rate,Closes,Closable impressions,Close rate,Impressions,Likes,Likes added,Likes removed,Dislikes,Dislikes added,Dislikes removed,Shares,Comments,Favorites,Favorites added,Favorites removed,Videos in playlists,Videos added to playlists,Videos removed from playlists,Subscribers,Subscribers gained,Subscribers lost
LibreOffice - Calc - Bedingte Formatierungen,F1aoLGhEY-w,4.62,"Apr 30, 2015",798,353,2.26,48.94,13,11,17,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,3,0,0,0,0,0,1,0,0,0,4,5,1,0,0,0
lighttpd - Installation,qbuXVY-Coxo,3.80,"Oct 14, 2012",797,705,1.13,29.73,13,4,8,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0
Matplotlib und Pylab - Installation,Ctc5tzbB_yc,5.18,"Jul 10, 2012",774,974,0.79,15.32,13,5,9,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,1,0,0.00,0,0,0.00,0,0,0,0,1,1,0,0,1,0,0,0,-4,1,5,0,0,0
lighttpd - PHP - FastCGI,UhKT7StOANU,6.60,"Oct 18, 2012",759,470,1.61,24.47,13,4,25,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,0,0,0,5,6,1,0,0,0
Python-Programmierung - Unicode,ZU-lN-SR4Y0,3.40,"Mar 27, 2011",749,420,1.78,52.44,12,23,54,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
Python-Programmierung - Funktionen,Uzb_ajpcMUo,5.23,"Sep 04, 2011",747,309,2.42,46.22,12,34,74,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
LibreOffice Writer - Erste Schritte mit regulären Ausdrücken,3koqIitD4wc,10.47,"Jun 18, 2013",742,266,2.79,26.65,12,3,20,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
Python-Programmierung - Operatoren,jgSZusvkBao,4.82,"Apr 10, 2011",739,289,2.56,53.08,12,23,72,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video-Editor OpenShot - Transparente Bilder über Video legen,68bH8P-OlM4,5.82,"Jan 04, 2014",725,590,1.23,21.13,12,2,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
Firefox - Quick Locale Switcher,ULDdrl0soqw,3.23,"Aug 18, 2011",671,590,1.14,35.18,11,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
