Date,Watch time (minutes),Views,Average view duration (minutes),Average percentage viewed,Unique cookies (web only),Watch time (hours),Subscriber views,Subscriber minutes watched,Card clicks,Card impressions,Card click rate,Card teaser clicks,Card teaser impressions,Card teaser click rate,Total estimated earnings (USD),YouTube Red earnings (USD),Ad earnings (USD),AdSense earnings (USD),DoubleClick earnings (USD),Transaction earnings (USD),Transactions,Earnings per transaction (USD),Estimated monetized playbacks,Playback-based CPM (USD),Impressions,Impression-based CPM (USD),Gross revenue (USD),YouTube Red watch time (minutes),YouTube Red views,YouTube Red watch time (hours),Clicks,Clickable impressions,Click through rate,Closes,Closable impressions,Close rate,Impressions,Videos published,Videos added,Likes,Likes added,Likes removed,Dislikes,Dislikes added,Dislikes removed,Shares,Comments,Favorites,Favorites added,Favorites removed,Videos in playlists,Videos added to playlists,Videos removed from playlists,Subscribers,Subscribers gained,Subscribers lost
"Feb 08, 2015",1192,672,1.77,39.86,259,20,237,481,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,19,0.00,3,19,15.79,19,1,1,3,3,0,0,0,0,0,1,0,0,0,8,8,0,-1,2,3
"Feb 09, 2015",619,365,1.70,35.75,232,10,48,106,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,12,0.00,1,12,8.33,12,0,0,3,3,0,0,0,0,0,0,0,0,0,3,4,1,3,3,0
"Feb 10, 2015",618,347,1.78,38.13,223,10,21,43,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,1,29,3.45,4,29,13.79,29,1,1,0,0,0,0,0,0,0,1,0,0,0,2,4,2,1,1,0
"Feb 11, 2015",856,441,1.94,40.59,214,14,96,292,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,27,0.00,1,27,3.70,27,1,1,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,1,1
"Feb 12, 2015",574,342,1.68,36.86,202,10,35,78,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,16,0.00,4,16,25.00,16,2,2,2,2,0,0,0,0,0,4,0,0,0,5,6,1,1,1,0
"Feb 13, 2015",555,325,1.71,37.12,207,9,16,39,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,17,0.00,2,17,11.76,17,1,1,2,2,0,0,0,0,0,1,0,0,0,5,6,1,0,1,1
"Feb 14, 2015",611,335,1.82,34.75,206,10,18,44,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,13,0.00,2,13,15.38,13,1,1,0,0,0,1,1,0,0,1,0,0,0,2,3,1,-1,1,2
"Feb 15, 2015",720,472,1.53,31.14,269,12,23,43,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,21,0.00,2,21,9.52,21,0,0,3,3,0,0,0,0,0,10,0,0,0,-2,3,5,2,2,0
"Feb 16, 2015",797,514,1.55,29.26,351,13,37,61,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,7,0.00,2,7,28.57,7,1,4,7,7,0,0,0,0,0,1,0,0,0,2,4,2,1,1,0
"Feb 17, 2015",693,414,1.67,33.89,254,12,34,58,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,31,0.00,4,31,12.90,31,3,0,2,2,0,0,0,0,1,3,0,0,0,8,8,0,1,2,1
"Feb 18, 2015",715,443,1.61,31.97,274,12,40,57,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,21,0.00,2,22,9.09,22,3,3,3,4,1,0,0,0,0,3,0,0,0,8,12,4,3,3,0
"Feb 19, 2015",543,372,1.46,28.80,254,9,16,38,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,1,21,4.76,5,21,23.81,21,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0
"Feb 20, 2015",669,412,1.62,32.05,265,11,24,43,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,26,0.00,3,26,11.54,26,2,2,0,0,0,0,0,0,0,2,0,0,0,10,12,2,1,1,0
"Feb 21, 2015",523,368,1.42,28.44,230,9,39,73,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,22,0.00,3,22,13.64,22,1,3,9,9,0,0,0,0,0,1,0,0,0,0,5,5,-1,2,3
"Feb 22, 2015",474,360,1.32,27.34,229,8,17,21,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,13,0.00,3,13,23.08,13,1,0,2,2,0,1,1,0,0,4,0,0,0,6,7,1,0,1,1
"Feb 23, 2015",727,427,1.70,35.16,265,12,37,71,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,13,0.00,3,13,23.08,13,1,2,1,1,0,0,0,0,0,2,0,0,0,3,5,2,1,2,1
"Feb 24, 2015",641,410,1.56,31.38,245,11,19,35,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,1,16,6.25,4,16,25.00,16,1,0,5,5,0,0,0,0,0,2,0,0,0,3,7,4,1,1,0
"Feb 25, 2015",575,365,1.58,31.78,230,10,38,70,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,16,0.00,3,16,18.75,16,1,1,0,0,0,0,0,0,0,3,0,0,0,5,5,0,-1,0,1
"Feb 26, 2015",601,363,1.65,35.38,241,10,20,27,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,31,0.00,5,31,16.13,31,3,3,2,2,0,0,0,0,0,6,1,1,0,9,10,1,-2,0,2
"Feb 27, 2015",568,389,1.46,29.42,247,9,37,41,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,31,0.00,5,31,16.13,31,1,1,1,1,0,1,1,0,0,1,1,1,0,3,9,6,1,1,0
"Feb 28, 2015",565,363,1.56,30.42,238,9,27,70,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,29,0.00,1,29,3.45,29,0,0,3,3,0,0,0,0,0,0,0,0,0,-2,1,3,3,3,0
"Mar 01, 2015",652,411,1.59,32.49,256,11,19,38,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,25,0.00,3,25,12.00,25,0,0,2,2,0,1,1,0,0,0,0,0,0,-1,0,1,1,2,1
"Mar 02, 2015",475,344,1.38,28.34,244,8,23,34,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,27,0.00,2,27,7.41,27,2,2,0,0,0,0,0,0,0,6,1,1,0,5,5,0,0,0,0
"Mar 03, 2015",726,408,1.78,37.90,202,12,12,16,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,21,0.00,4,21,19.05,21,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,-1,0,1
"Mar 04, 2015",531,355,1.50,32.21,209,9,25,29,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,22,0.00,2,22,9.09,22,0,0,1,2,1,1,1,0,0,0,0,0,0,-1,1,2,1,1,0
"Mar 05, 2015",389,281,1.38,29.07,195,6,6,6,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,,0,0,15,0.00,3,15,20.00,15,1,1,1,1,0,0,0,0,0,1,0,0,0,1,3,2,1,1,0
