Video,Video ID,Video length (minutes),Video created,Comments,Views,Watch time (minutes),Watch time (hours),Average view duration (minutes),Average percentage viewed,Subscriber views,Subscriber minutes watched,Card clicks,Card impressions,Card click rate,Card teaser clicks,Card teaser impressions,Card teaser click rate,Total estimated earnings (USD),YouTube Red earnings (USD),Ad earnings (USD),AdSense earnings (USD),DoubleClick earnings (USD),Transaction earnings (USD),Transactions,Earnings per transaction (USD),Estimated monetized playbacks,Playback-based CPM (USD),Impressions,Impression-based CPM (USD),Gross revenue (USD),YouTube Red watch time (minutes),YouTube Red views,YouTube Red watch time (hours),Clicks,Clickable impressions,Click through rate,Closes,Closable impressions,Close rate,Impressions,Likes,Likes added,Likes removed,Dislikes,Dislikes added,Dislikes removed,Shares,Favorites,Favorites added,Favorites removed,Videos in playlists,Videos added to playlists,Videos removed from playlists,Subscribers,Subscribers gained,Subscribers lost
Firefox OS - Zeit bis zum Abschalten des Bildschirms bestimmen,fiQwFdHNEvM,1.02,"Feb 17, 2015",1,13,8,0,0.58,56.88,3,2,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
HTML und CSS - Die notwendigen Tools,4zF55X9iK1E,2.13,"Feb 26, 2015",1,62,81,1,1.30,60.93,26,35,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,109,0.00,0,109,0.00,109,2,2,0,0,0,0,0,1,1,0,6,8,2,0,0,0
Linux - cheat (lernen durch Kommando-Beispiele),pMR5F8IdDGI,4.05,"Feb 22, 2014",1,89,138,2,1.55,38.20,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0
AngularJS - Schleifen (ng-repeat),V_FMev-Ab_A,4.97,"Mar 27, 2015",1,115,245,4,2.13,42.93,15,12,4,11,36.36,6,123,4.88,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,4,5,1,1,1,0
Git für Einsteiger - Der erste Commit - Teil 2,9aUbuVohqaM,4.42,"Feb 20, 2015",1,44,77,1,1.75,39.52,15,31,1,1,100.00,1,10,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,1,26,3.85,2,26,7.69,26,1,1,0,0,0,0,0,0,0,0,4,6,2,0,0,0
dnf - die wichtigsten Kommandos (Fedora),ZG3gs28_hmk,3.90,"Jul 30, 2015",1,46,72,1,1.56,39.90,22,30,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,3,0,0,0,0,0,0,0,0,3,5,2,0,0,0
Fedora 22 Beta Workstation - Demo,H-vRMrdTYb0,6.52,"Apr 23, 2015",1,1026,1259,21,1.23,18.82,21,33,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,3,0,2,2,0,0,0,0,0,5,11,6,1,1,0
Taskwarrior - erste Schritte,fEImlb_kYYg,6.87,"Sep 23, 2012",1,127,273,5,2.15,31.36,8,26,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
LibreOffice - Calc - Autoformatierung von Tabellenbereichen (Autoformat),e96ob1K1iPo,2.70,"Mar 20, 2015",1,34,48,1,1.41,52.29,6,10,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,3,5,2,0,0,0
Python-Programmierung - weitere Listen-Methoden,Ou9EgFglk5k,3.12,"Jul 08, 2011",1,180,301,5,1.67,53.63,26,43,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0
