date,watch_time_minutes,views,average_view_duration,average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,videos_published,videos_added,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,comments,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,subscribers,subscribers_gained,subscribers_lost,watch_time_hours
2016-01-31,482,315,1.5,29.63,0,0,0.00,0,19,0.00,0,0,0.00,1,3,0,0,13,0.00,3,13,23.08,13,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8
2016-02-01,441,324,1.4,26.58,0,0,0.00,0,17,0.00,0,0,0.00,5,2,0,0,15,0.00,0,20,0.00,20,,,0,0,0,0,0,0,0,1,0,1,1,-1,0,1,7
2016-02-02,384,328,1.2,23.27,0,0,0.00,0,24,0.00,0,0,0.00,6,3,0,0,27,0.00,1,27,3.70,27,,,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,6
2016-02-03,478,288,1.7,32.79,0,0,0.00,0,9,0.00,0,0,0.00,0,1,0,2,18,11.11,3,18,16.67,18,,,0,0,0,0,0,0,0,1,-1,0,1,1,1,0,8
2016-02-04,322,245,1.3,25.10,0,0,0.00,0,11,0.00,0,0,0.00,0,0,0,2,20,10.00,1,20,5.00,20,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
2016-02-05,477,327,1.5,27.16,0,0,0.00,0,18,0.00,0,0,0.00,0,0,0,0,20,0.00,2,20,10.00,20,1,1,1,3,2,2,2,0,0,1,3,4,1,0,1,1,8
2016-02-06,506,350,1.4,27.41,0,0,0.00,0,7,0.00,0,0,0.00,0,0,0,0,6,0.00,1,6,16.67,6,,,1,1,0,1,1,0,1,0,82,82,0,2,2,0,8
2016-02-07,511,356,1.4,28.18,0,0,0.00,0,16,0.00,0,0,0.00,0,0,0,0,13,0.00,0,14,0.00,14,,,2,2,0,0,0,0,0,0,-41,0,41,2,2,0,9
2016-02-08,362,286,1.3,25.16,0,0,0.00,0,18,0.00,0,0,0.00,0,1,0,0,15,0.00,0,15,0.00,15,,,2,2,0,0,0,0,0,0,1,1,0,1,1,0,6
2016-02-09,573,420,1.4,28.35,0,0,0.00,0,15,0.00,0,0,0.00,1,1,0,1,15,6.67,1,15,6.67,15,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,10
2016-02-10,405,280,1.4,29.95,0,0,0.00,0,19,0.00,0,0,0.00,0,1,0,0,10,0.00,1,10,10.00,10,0,0,0,0,0,1,1,0,0,0,-1,0,1,1,1,0,7
2016-02-11,453,298,1.5,30.35,0,0,0.00,0,26,0.00,0,0,0.00,0,0,0,2,23,8.70,2,23,8.70,23,0,13,0,0,0,2,3,1,0,0,0,0,0,0,0,0,8
2016-02-12,398,301,1.3,27.06,0,0,0.00,0,8,0.00,0,0,0.00,0,1,0,1,13,7.69,1,14,7.14,14,1,1,3,3,0,0,0,0,2,1,5,6,1,-1,0,1,7
2016-02-13,576,389,1.5,29.32,0,0,0.00,0,9,0.00,0,0,0.00,0,1,0,0,18,0.00,5,18,27.78,18,1,1,4,4,0,0,0,0,0,1,4,5,1,0,1,1,10
2016-02-14,515,356,1.4,29.35,0,0,0.00,0,24,0.00,0,0,0.00,0,0,0,0,22,0.00,8,22,36.36,22,,,0,0,0,0,0,0,1,0,0,0,0,-1,0,1,9
2016-02-15,464,295,1.6,32.68,0,0,0.00,0,17,0.00,0,0,0.00,6,4,0,0,7,0.00,0,9,0.00,9,,,1,1,0,0,0,0,0,1,-1,0,1,1,1,0,8
2016-02-16,528,337,1.6,32.52,0,0,0.00,0,14,0.00,0,0,0.00,0,0,0,1,10,10.00,2,10,20.00,10,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9
2016-02-17,439,305,1.4,28.09,0,0,0.00,0,16,0.00,0,0,0.00,1,1,0,0,16,0.00,2,16,12.50,16,,,3,3,0,0,0,0,0,0,1,1,0,0,1,1,7
2016-02-18,358,281,1.3,25.30,0,0,0.00,0,13,0.00,0,0,0.00,2,2,0,0,22,0.00,2,22,9.09,22,,,1,1,0,0,0,0,0,0,0,0,0,-1,0,1,6
2016-02-19,442,309,1.4,26.53,0,0,0.00,0,27,0.00,0,0,0.00,14,9,0,0,15,0.00,1,20,5.00,20,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7
