date,watch_time_minutes,views,average_view_duration,average_percentage_viewed,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,youtube_red_watch_time_minutes,youtube_red_views,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,videos_published,videos_added,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,comments,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,subscribers,subscribers_gained,subscribers_lost,watch_time_hours
2017-05-15,388,299,1.3,27.63,0,0,0.00,0,39,0.00,3,0,0.00,0,0,0,0,6,0.00,0,6,0.00,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6
2017-05-16,286,238,1.2,26.46,0,0,0.00,0,27,0.00,0,0,0.00,0,0,0,0,20,0.00,0,20,0.00,20,0,0,2,2,0,3,3,0,0,0,1,1,0,1,1,0,5
2017-05-17,345,279,1.2,27.36,0,2,0.00,1,24,4.17,1,0,0.00,0,0,0,0,11,0.00,0,11,0.00,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,6
2017-05-18,355,265,1.3,28.49,0,0,0.00,0,15,0.00,2,2,100.00,0,2,0,0,4,0.00,1,4,25.00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6
2017-05-19,300,245,1.2,27.01,0,0,0.00,0,29,0.00,2,1,50.00,0,0,0,0,7,0.00,0,7,0.00,7,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,5
2017-05-20,349,216,1.6,33.63,0,0,0.00,0,32,0.00,0,0,0.00,1,2,0,0,10,0.00,1,10,10.00,10,0,0,1,2,1,1,2,1,0,1,0,0,0,0,0,0,6
2017-05-21,362,228,1.6,34.52,0,0,0.00,0,19,0.00,0,0,0.00,0,1,0,0,6,0.00,0,6,0.00,6,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,6
2017-05-22,339,210,1.6,34.25,0,0,0.00,0,17,0.00,1,0,0.00,0,1,0,1,12,8.33,2,12,16.67,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6
2017-05-23,326,227,1.4,30.35,0,0,0.00,0,23,0.00,0,0,0.00,0,0,0,0,5,0.00,0,6,0.00,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5
2017-05-24,278,207,1.3,29.64,0,0,0.00,0,15,0.00,0,0,0.00,0,1,0,0,6,0.00,1,7,14.29,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5
2017-05-25,265,209,1.3,27.13,0,0,0.00,0,21,0.00,1,0,0.00,0,0,0,2,14,14.29,0,14,0.00,14,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,4
2017-05-26,302,232,1.3,26.83,1,2,50.00,1,17,5.88,0,0,0.00,0,2,0,0,16,0.00,3,16,18.75,16,0,0,-2,0,2,0,0,0,0,0,0,0,0,0,1,1,5
2017-05-27,250,190,1.3,27.96,0,2,0.00,2,20,10.00,2,0,0.00,0,0,0,0,3,0.00,0,3,0.00,3,0,0,-1,0,1,0,0,0,0,0,1,1,0,0,0,0,4
2017-05-28,287,233,1.2,28.45,0,0,0.00,0,28,0.00,0,0,0.00,0,0,0,0,9,0.00,2,9,22.22,9,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,5
2017-05-29,279,206,1.4,29.68,0,0,0.00,0,14,0.00,2,0,0.00,0,0,0,0,7,0.00,2,7,28.57,7,0,0,2,2,0,-1,0,1,0,0,-1,0,1,0,0,0,5
2017-05-30,355,246,1.4,33.39,1,2,50.00,1,26,3.85,1,0,0.00,1,1,0,0,15,0.00,0,15,0.00,15,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,6
2017-05-31,334,254,1.3,28.45,0,0,0.00,0,30,0.00,1,0,0.00,0,1,0,0,3,0.00,1,3,33.33,3,0,0,0,1,1,0,1,1,0,0,0,0,0,2,2,0,6
2017-06-01,389,263,1.5,33.82,0,2,0.00,0,28,0.00,0,0,0.00,0,0,0,0,9,0.00,0,9,0.00,9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6
2017-06-02,356,246,1.4,31.37,0,0,0.00,0,27,0.00,0,0,0.00,0,0,0,1,7,14.29,0,7,0.00,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2017-06-03,235,189,1.2,25.31,0,0,0.00,0,18,0.00,1,0,0.00,3,1,0,0,1,0.00,0,1,0.00,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,4
2017-06-04,401,282,1.4,30.61,0,0,0.00,0,14,0.00,0,0,0.00,0,0,0,0,7,0.00,0,7,0.00,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7
2017-06-05,430,287,1.5,31.05,0,0,0.00,0,20,0.00,0,0,0.00,0,0,0,0,17,0.00,0,17,0.00,17,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,7
2017-06-06,441,278,1.6,34.43,0,0,0.00,0,29,0.00,0,0,0.00,0,0,0,0,11,0.00,2,11,18.18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2017-06-07,377,256,1.5,30.56,0,0,0.00,0,27,0.00,0,0,0.00,0,0,0,0,12,0.00,0,12,0.00,12,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,6
2017-06-08,315,245,1.3,28.58,0,0,0.00,0,18,0.00,0,0,0.00,0,0,0,0,26,0.00,0,26,0.00,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2017-06-09,316,237,1.3,28.12,0,0,0.00,0,20,0.00,0,0,0.00,0,0,0,0,11,0.00,2,11,18.18,11,1,1,4,4,0,0,0,0,0,1,3,4,1,0,1,1,5
2017-06-10,271,207,1.3,26.84,0,0,0.00,0,24,0.00,0,0,0.00,0,0,0,0,9,0.00,0,9,0.00,9,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,5
2017-06-11,259,197,1.3,28.17,0,0,0.00,0,15,0.00,0,0,0.00,2,1,0,0,4,0.00,0,4,0.00,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,4
2017-06-12,340,263,1.3,28.18,0,0,0.00,0,14,0.00,0,0,0.00,0,2,0,0,5,0.00,0,5,0.00,5,0,0,1,1,0,0,0,0,0,1,-1,0,1,0,0,0,6
2017-06-13,331,220,1.5,33.05,0,0,0.00,0,22,0.00,1,0,0.00,0,0,0,0,1,0.00,0,1,0.00,1,0,0,0,0,0,0,0,0,0,0,5,5,0,2,2,0,6
2017-06-14,340,231,1.5,33.38,0,0,0.00,0,27,0.00,1,0,0.00,0,1,0,0,8,0.00,0,9,0.00,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,6
2017-06-15,367,231,1.6,34.30,0,0,0.00,0,22,0.00,0,0,0.00,0,0,0,0,2,0.00,0,2,0.00,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6
2017-06-16,344,212,1.6,34.65,0,0,0.00,0,33,0.00,1,0,0.00,1,2,0,0,13,0.00,3,13,23.08,13,0,0,2,2,0,0,0,0,0,0,0,2,2,-1,0,1,6
2017-06-17,291,183,1.6,34.00,0,0,0.00,0,16,0.00,0,0,0.00,0,0,0,0,9,0.00,0,9,0.00,9,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,5
2017-06-18,248,198,1.3,26.67,0,0,0.00,0,9,0.00,0,0,0.00,0,2,0,0,6,0.00,0,6,0.00,6,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,4
2017-06-19,301,199,1.5,31.56,0,0,0.00,0,18,0.00,0,0,0.00,1,1,0,0,13,0.00,1,13,7.69,13,0,0,0,0,0,0,0,0,0,1,-1,0,1,1,1,0,5
2017-06-20,252,200,1.3,28.97,0,0,0.00,0,20,0.00,0,0,0.00,0,0,0,0,9,0.00,0,9,0.00,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
