Video,Video ID,Video length (minutes),Video created,Likes,Dislikes,Views,Watch time (minutes),Watch time (hours),Average view duration (minutes),Average percentage viewed,Subscriber views,Subscriber minutes watched,Card clicks,Card impressions,Card click rate,Card teaser clicks,Card teaser impressions,Card teaser click rate,Total estimated earnings (USD),YouTube Red earnings (USD),Ad earnings (USD),AdSense earnings (USD),DoubleClick earnings (USD),Transaction earnings (USD),Transactions,Earnings per transaction (USD),Estimated monetized playbacks,Playback-based CPM (USD),Impressions,Impression-based CPM (USD),Gross revenue (USD),YouTube Red watch time (minutes),YouTube Red views,YouTube Red watch time (hours),Clicks,Clickable impressions,Click through rate,Closes,Closable impressions,Close rate,Impressions,Likes added,Likes removed,Dislikes added,Dislikes removed,Shares,Comments,Favorites,Favorites added,Favorites removed,Videos in playlists,Videos added to playlists,Videos removed from playlists,Subscribers,Subscribers gained,Subscribers lost
Linux - Anwendungen in anderer Sprache starten,fx35uCpzndc,2.95,"Jan 30, 2015",2,0,37,59,1,1.59,53.97,20,34,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,0,0,0,0,2,0,0,0,4,9,5,0,0,0
Python-Programmierung - Die interaktive Shell,KyMNA_0Nm-Q,3.12,"Sep 02, 2013",2,1,1897,2556,43,1.35,43.24,92,106,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,0,1,0,0,0,0,0,0,1,6,5,12,13,1
OpenLayers 3 - eine Karte auf eine Webseite setzen,3xiI_v9TopE,4.87,"Aug 21, 2015",2,0,81,186,3,2.30,47.16,24,49,0,1,0.00,1,69,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,0,0,0,0,0,0,0,0,6,7,1,0,0,0
docker installieren,jcgrUJv7qGc,3.63,"Aug 04, 2015",2,0,81,132,2,1.63,44.96,35,68,0,0,0.00,0,31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,3,1,0,0,0,2,1,1,0,5,8,3,1,1,0
Python-Programmierung - pygments - Syntax-Highlighting,D7GtJ6JDNJU,9.08,"Apr 23, 2014",2,0,341,525,9,1.54,16.94,6,10,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,1,0,0,0,0.00,0,0,0.00,0,2,0,0,0,0,2,0,0,0,3,5,2,0,0,0
Python-Programmierung - if-Anweisung,nOU2ccm5ISA,7.45,"Apr 17, 2011",2,0,365,1223,20,3.35,44.98,22,96,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,0,0,0,0,0,0,0,0,1,1,0,3,3,0
LibreOffice 5 installieren (Linux),gb1IYzofAAc,3.12,"Aug 15, 2015",2,0,229,409,7,1.79,57.34,23,37,0,0,0.00,0,95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,0,0,0,1,0,0,0,0,3,4,1,0,0,0
LibreOffice - Calc - Fixieren von Spalten und Zeilen,czJ6EpZRFGU,4.63,"Apr 08, 2014",2,0,248,483,8,1.95,42.04,0,0,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Firefox - nur in bestimmten Bereichen suchen,0YfY3HN2YjQ,2.85,"May 26, 2015",2,0,42,40,1,0.95,33.48,17,17,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0,0,0,0,0,0.00,0,0,0.00,0,2,0,0,0,0,2,0,0,0,4,6,2,-1,0,1
Opensuse Leap 42.1 RC1 - Demo,MOE6ATvnltU,7.53,"Oct 18, 2015",2,0,1715,1893,32,1.10,14.65,42,55,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,1,3,0,0,0,0.00,0,0,0.00,0,3,1,0,0,1,0,0,0,0,3,5,2,0,0,0
